BIL,KOD PROJEK & NAMA PROJEK,KOD PEMAJU & NAMA PEMAJU,NO. PERMIT,STATUS PROJEK KESELURUHAN,RINGKASAN PROJEK,Scraped_Date,Scraped_Timestamp
1,"7305-39
TAMAN DESA BERTAM","7305
TELADAN SETIA SDN. BHD.",7305-39/10-2027/0808(N)-(L),BELUM MULA,,2025-12-12,2025-12-12 17:29:07
2,"7305-38
TAMAN BERTAM HEIGHTS","7305
TELADAN SETIA SDN. BHD.",7305-38/04-2027/0278(A)-(L),LANCAR,,2025-12-12,2025-12-12 17:29:07
3,"7305-37
TAMAN IMPIANA KESANG","7305
TELADAN SETIA SDN. BHD.",7305-37/11-2026/1015(A)-(L),LANCAR,,2025-12-12,2025-12-12 17:29:07
4,"7305-36
TAMAN IMPIANA KESANG","7305
TELADAN SETIA SDN. BHD.",7305-36/11-2026/1000(A)-(L),LANCAR,,2025-12-12,2025-12-12 17:29:07
5,"7305-35
RUMAH BANDAR TAMAN BERTAM HEIGHTS","7305
TELADAN SETIA SDN. BHD.",7305-35/05-2027/0372(A)-(S),LANCAR,,2025-12-12,2025-12-12 17:29:07
6,"7305-34
TAMAN BERTAM HEIGHTS","7305
TELADAN SETIA SDN. BHD.",7305-34/12-2026/1328(A)-(S),LANCAR,,2025-12-12,2025-12-12 17:29:07
7,"7305-33
TAMAN IMPIANA KESANG","7305
TELADAN SETIA SDN. BHD.",7305-33/11-2025/1225(N)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
8,"7305-32
TAMAN BERTAM HEIGHTS","7305
TELADAN SETIA SDN. BHD.",7305-32/05-2025/0593(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
9,"7305-31
TAMAN IMPIANA KESANG","7305
TELADAN SETIA SDN. BHD.",7305-31/11-2025/0778(R)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
10,"7305-30
TAMAN DESA BERTAM","7305
TELADAN SETIA SDN. BHD.",7305-30/09-2025/0635(R)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
11,"7305-29
TAMAN BERTAM HEIGHTS","7305
TELADAN SETIA SDN. BHD.",7305-29/01-2025/1697(R)-(S),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
12,"7305-28
TAMAN DESA BERTAM","7305
TELADAN SETIA SDN. BHD.",7305-28/08-2024/1125(R)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
13,"7305-27
TAMAN DESA BERTAM","7305
TELADAN SETIA SDN. BHD.",7305-27/06-2022/0128(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
14,"7305-26
TAMAN BERTAM SETIA","7305
TELADAN SETIA SDN. BHD.",7305-26/04-2021/0345(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
15,"7305-25
TAMAN DESA BERTAM","7305
TELADAN SETIA SDN. BHD.",7305-25/06-2021/02282(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
16,"7305-24
TAMAN BERTAM SETIA","7305
TELADAN SETIA SDN. BHD.",7305-24/08-2017/0735(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
17,"7305-23
TAMAN BELIMBING SETIA","7305
TELADAN SETIA SDN. BHD.",7305-23/03-2022/01369(P),PERMIT TELAH DIBATALKAN,,2025-12-12,2025-12-12 17:29:07
18,"7305-22
TAMAN SERI TUAH PERMAI","7305
TELADAN SETIA SDN. BHD.",7305-22/11-2015/0816(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
19,"7305-21
TAMAN DESA IDAMAN","7305
TELADAN SETIA SDN. BHD.",7305-21/06-2016/01818(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
20,"7305-20
TAMAN BELIMBING SETIA","7305
TELADAN SETIA SDN. BHD.",7305-20/12-2021/03555(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 17:29:07
